KEGG_ID,MARS2_S1,MARS4_S14,MARS5_S2,NURS2_S4,NURS4_S5,NURS5_S6,Par1_6m_S7,Par1_T0_S15,Par2_6m_S8,Par2_T0_S9,Par3_6m_S10,Par3_T0_S11,REBAR2_S12,REBAR4_S13,REBAR5_S16
K15210,1.867586816,0.51495086,0.73191588,1.101236244,0.169816205,0.456789125,0,1.441815871,1.076661465,1.06796089,1.293116056,0.490502255,0.863402688,0.18463165,1.242546487
K15255,211.1972287,66.96707364,144.9534762,128.914304,39.44688889,141.8204513,8.494932028,485.4477009,142.7654277,200.8438096,151.5343908,100.8484755,170.2742374,141.4864664,293.2004854
K15256,0,2.453867756,0,0.074009564,0.102449477,0,0,0,0.061058706,0.00529301,0.022595716,0,0,0.152153514,0
K15257,0.01447567,0.117149697,0,0.051667054,0.12272293,0,0,0,0.069891097,0.013914957,0.015530182,0,0.014439592,0.117972549,0
K15258,0.446745247,0,0.172076841,0.40820182,0.120266777,0.527203259,0,0.539804604,0.241580096,0.333245927,0.272622221,0.160039651,0.238993192,0.107904038,0.24019795
K15259,1.964981036,1.137019859,2.534548476,1.118090578,0.403858283,1.05021312,0,2.626211042,1.262023815,1.546681564,1.216933551,0.94882839,1.240707463,0.90366652,1.66005123
K15261,2.347664144,0.877716929,1.978883676,0.958423855,0.722161348,1.155307363,0,3.404909972,2.083628327,1.15048862,1.460982481,0.560574006,1.294256768,0.738333382,1.666573441
K15262,0.194147401,0.231291883,0,0.060257176,0.009468436,0.138353259,2.275684109,0.081503137,0.149437076,0.067618524,0.113448171,0.18899548,0.216664496,0.045509649,0.355696556
K15264,4.750460391,8.359856852,4.677361415,11.74944859,2.003840293,8.005452064,0,4.097631126,2.681258157,12.18149288,2.522706549,2.546677466,3.470875053,8.094684919,2.633798448
K15268,0,0.17848751,0,0,0.203820538,0.554769442,0,0,0.060725051,0.030587255,0.013705598,0,0,0.195931017,0
K15269,0,0.158988874,1.164049221,0,0.082984076,0,0,0.075589077,0.039688159,0,0.021076676,0,0,0.131311793,0
K15270,0.049765006,0.255671298,0,0.041967109,0.044512531,0,0,0.036491279,0,0.008476928,0,0.078796281,0,0.08049058,0
K15271,0.546561573,0.04991999,0.438591633,0.325134365,0.536440599,0.323493527,0,0.804156091,0.645063475,0.350260388,0.618758929,0.679851815,0.313803966,0.579521557,0.757986142
